respondent_id,graduate_id,age_group,highest_education_level,programming_level_before,programming_level_after,employment_before,employment_after,employment_type_before,employment_type_after,it_before,it_after,programmer_after,continued_studying,post_training_study_type,course,cohort,improved_job_profile,interested_job_opportunities
226,1720,25-34,University Incomplete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Informal Worker,Own Business,False,False,False,True,Paid University Education,FullStack Java,2020-2,A Lot,False
227,2822,25-34,University Complete,Junior,Junior,Unemployed and Looking for Work,Employed,Employee,Employee,False,False,False,True,Paid Annual Course;Paid University Education,FullStack JavaScript / Node.js,2022-1,Neutral,False
228,2944,25-34,Postgraduate Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Employee,False,True,True,False,,FullStack JavaScript / Node.js,2022-1,Not at All,True
229,2126,35-44,University Complete,Junior,Semi Senior,Unemployed and Looking for Work,Employed,Informal Worker,Own Business,False,True,False,True,Free Quarterly Course;Other,FullStack JavaScript / Node.js,2022-1,Quite a Bit,True
230,1209,45+,University Complete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Employed,Informal Worker,Self-employed,False,True,True,False,,FullStack Java,2022-1,Neutral,True
231,2425,35-44,University Incomplete,Trainee,Junior,Employed,Employed,Self-employed,Informal Worker,False,False,False,False,,Big Data,2021-1,A Little,False
232,2322,25-34,Secondary Complete,No Programming Knowledge,Junior,Employed,Employed,Own Business,Own Business,False,False,False,False,,Big Data,2021-1,A Little,True
233,650,35-44,University Incomplete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Informal Worker,Informal Worker,False,False,False,True,Paid Annual Course;Paid University Education;Free Quarterly Course,FullStack PHP,2020-2,Not at All,False
234,2449,35-44,University Complete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Informal Worker,False,False,False,True,Paid Quarterly Course;Other;Paid University Education,FullStack Python,2021-1,A Little,False
235,2908,Under 25,University Incomplete,Semi Senior,Senior,Employed,Retired,Self-employed,Employee,False,False,False,True,Paid Tertiary Education;Free Quarterly Course,UX/UI Design,2021-1,Quite a Bit,True
236,1531,25-34,Tertiary Incomplete,Junior,Junior,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Employee,Informal Worker,False,False,False,False,,FullStack Python,2021-1,A Little,True
237,685,Under 25,Secondary Incomplete,No Programming Knowledge,Trainee,Unemployed and Not Looking for Work,Employed,Employee,Self-employed,False,False,False,True,Free University Education,FullStack Python,2021-1,A Little,True
238,2456,Under 25,Secondary Incomplete,No Programming Knowledge,Junior,Employed,Employed,Informal Worker,Employee,False,True,False,True,Free University Education,Testing QA,2020-2,A Little,False
239,332,Under 25,University Incomplete,Junior,Junior,Unemployed and Not Looking for Work,Employed,Own Business,Self-employed,False,False,False,True,Paid Tertiary Education,FullStack PHP,2021-2,Quite a Bit,True
240,2380,45+,Tertiary Incomplete,Semi Senior,Semi Senior,Unemployed and Looking for Work,Employed,Employee,Informal Worker,False,False,False,True,Paid Tertiary Education,Testing QA,2021-1,Neutral,False
241,1462,45+,Postgraduate Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Own Business,False,True,True,False,,Testing QA,2020-2,Neutral,True
242,492,35-44,University Complete,Junior,Trainee,Employed,Employed,Own Business,Own Business,False,False,False,False,,Big Data,2022-1,A Lot,True
243,2964,Under 25,Secondary Complete,Trainee,Junior,Retired,Retired,Informal Worker,Informal Worker,False,False,False,True,Paid Annual Course;Free Tertiary Education,Big Data,2021-2,A Lot,False
244,1925,25-34,University Incomplete,Semi Senior,Semi Senior,Employed,Retired,Informal Worker,Own Business,False,False,False,False,,FullStack PHP,2021-1,A Little,True
245,913,25-34,Tertiary Complete,Junior,Junior,Employed,Employed,Employee,Informal Worker,True,False,False,True,Free Annual Course;Paid University Education,Testing QA,2022-1,Neutral,False
246,1162,25-34,Postgraduate Incomplete,Trainee,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Own Business,False,False,False,False,,Testing QA,2020-2,Quite a Bit,True
247,85,35-44,Secondary Incomplete,No Programming Knowledge,Junior,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Informal Worker,Own Business,False,False,False,False,,FullStack Python,2021-2,A Little,False
248,969,35-44,University Incomplete,Trainee,Junior,Unemployed and Not Looking for Work,Employed,Self-employed,Employee,False,False,False,True,Paid University Education;Free Annual Course;Free University Education,FullStack Java,2021-2,Neutral,True
249,642,25-34,Postgraduate Incomplete,Trainee,Trainee,Employed,Employed,Employee,Own Business,False,False,False,True,Free Quarterly Course;Paid Annual Course;Free Annual Course,Testing QA,2021-2,A Lot,True
250,2695,35-44,University Complete,Trainee,Trainee,Employed,Employed,Employee,Informal Worker,True,True,True,True,Paid Quarterly Course;Paid Annual Course,Testing QA,2022-1,A Lot,False
251,2927,35-44,Postgraduate Incomplete,No Programming Knowledge,Junior,Employed,Employed,Employee,Employee,True,True,True,True,Paid Quarterly Course;Free Annual Course,FullStack Java,2020-2,A Little,True
252,1272,25-34,University Complete,Senior,Senior,Unemployed and Looking for Work,Employed,Self-employed,Self-employed,False,True,False,False,,UX/UI Design,2022-1,Quite a Bit,False
253,2075,Under 25,Secondary Complete,Trainee,Junior,Employed,Employed,Own Business,Employee,False,True,False,False,,FullStack Python,2022-1,Neutral,False
254,67,25-34,Secondary Complete,No Programming Knowledge,Junior,Retired,Retired,Own Business,Informal Worker,False,False,False,True,Free Annual Course,FullStack Python,2022-1,A Little,True
255,1397,Under 25,Tertiary Incomplete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Self-employed,False,False,False,True,Paid Quarterly Course,Big Data,2020-2,Quite a Bit,True
256,2203,Under 25,Secondary Incomplete,Trainee,Junior,Employed,Employed,Self-employed,Own Business,False,True,False,True,Free Quarterly Course,UX/UI Design,2022-1,A Little,True
257,1980,Under 25,Secondary Incomplete,Trainee,Junior,Employed,Unemployed and Not Looking for Work,Self-employed,Self-employed,False,False,False,True,Paid University Education;Paid Tertiary Education,Testing QA,2021-1,Quite a Bit,False
258,1673,45+,Secondary Complete,Senior,Senior,Employed,Employed,Own Business,Employee,True,False,False,True,Free Annual Course;Other,FullStack JavaScript / Node.js,2022-1,A Little,True
259,1546,Under 25,Secondary Complete,Trainee,Junior,Employed,Employed,Employee,Own Business,False,True,False,False,,FullStack Python,2022-1,A Lot,True
260,2023,35-44,University Complete,No Programming Knowledge,Trainee,Employed,Employed,Informal Worker,Self-employed,True,True,True,False,,FullStack Python,2022-1,A Lot,True
261,1810,25-34,University Complete,Senior,Senior,Employed,Employed,Own Business,Self-employed,False,False,False,True,Free Quarterly Course;Free Tertiary Education;Free Annual Course,Testing QA,2020-2,Quite a Bit,True
262,1216,35-44,University Incomplete,Trainee,Trainee,Unemployed and Looking for Work,Employed,Self-employed,Informal Worker,False,True,True,True,Paid University Education;Free Tertiary Education;Paid Tertiary Education,Testing QA,2021-1,Not at All,False
263,1146,25-34,Tertiary Complete,Trainee,Trainee,Employed,Employed,Informal Worker,Own Business,True,False,False,True,Paid Quarterly Course;Free Annual Course;Free University Education,FullStack JavaScript / Node.js,2021-1,Quite a Bit,True
264,1923,35-44,Tertiary Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Own Business,True,True,True,True,Free Tertiary Education;Other;Paid Annual Course,Testing QA,2020-2,A Little,True
265,2604,Under 25,Secondary Complete,Trainee,Semi Senior,Unemployed and Looking for Work,Employed,Self-employed,Own Business,False,False,False,True,Free University Education,FullStack Python,2021-2,Neutral,False
266,341,Under 25,Secondary Complete,Junior,Semi Senior,Employed,Employed,Own Business,Informal Worker,False,False,False,True,Other,FullStack Java,2020-2,Quite a Bit,True
267,1284,35-44,Secondary Complete,Senior,Senior,Employed,Employed,Informal Worker,Employee,False,False,False,False,,FullStack PHP,2020-2,A Little,False
268,1353,Under 25,Tertiary Incomplete,Senior,Senior,Employed,Employed,Employee,Employee,False,False,False,False,,FullStack PHP,2021-1,Neutral,True
269,1970,35-44,Tertiary Complete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Self-employed,False,True,False,False,,FullStack JavaScript / Node.js,2021-2,A Lot,True
270,169,45+,University Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Own Business,False,False,False,False,,Big Data,2021-1,A Lot,False
271,2632,25-34,Tertiary Complete,Trainee,Trainee,Unemployed and Looking for Work,Employed,Own Business,Self-employed,False,False,False,False,,FullStack PHP,2022-1,A Lot,True
272,2411,25-34,University Complete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Employed,Own Business,Employee,False,True,True,False,,FullStack Python,2020-2,Not at All,True
273,1408,Under 25,Secondary Complete,Semi Senior,Senior,Unemployed and Looking for Work,Unemployed and Looking for Work,Informal Worker,Self-employed,False,False,False,False,,FullStack PHP,2021-1,Not at All,True
274,659,25-34,Tertiary Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Informal Worker,Own Business,False,True,True,True,Free University Education;Free Tertiary Education,FullStack Java,2020-2,Quite a Bit,True
275,2529,Under 25,University Incomplete,Semi Senior,Semi Senior,Employed,Unemployed and Looking for Work,Employee,Self-employed,False,False,False,False,,FullStack JavaScript / Node.js,2020-2,Not at All,True
276,2846,25-34,University Incomplete,Trainee,Junior,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Employee,Own Business,False,False,False,True,Free Annual Course;Free Quarterly Course,FullStack PHP,2021-1,Quite a Bit,True
277,1471,Under 25,Secondary Complete,Junior,Junior,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Employee,Informal Worker,False,False,False,True,Free Annual Course;Paid Annual Course,FullStack JavaScript / Node.js,2020-2,A Lot,True
278,2190,45+,Tertiary Complete,Trainee,Semi Senior,Employed,Employed,Own Business,Employee,True,True,True,True,Paid Tertiary Education,UX/UI Design,2021-2,A Little,True
279,2273,25-34,Secondary Complete,Junior,Trainee,Employed,Employed,Self-employed,Self-employed,True,True,True,True,Free Quarterly Course,FullStack Python,2021-1,Not at All,True
280,414,35-44,University Complete,No Programming Knowledge,Trainee,Employed,Employed,Informal Worker,Self-employed,True,False,False,True,Paid Tertiary Education;Free Quarterly Course;Paid Annual Course,FullStack PHP,2020-2,Not at All,False
281,2408,35-44,Postgraduate Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Self-employed,True,False,False,False,,Testing QA,2021-1,A Little,True
282,2225,35-44,University Complete,Senior,Senior,Unemployed and Looking for Work,Employed,Informal Worker,Own Business,False,True,True,False,,FullStack Python,2021-1,A Little,True
283,45,25-34,University Complete,No Programming Knowledge,Trainee,Employed,Retired,Self-employed,Own Business,False,False,False,True,Paid Quarterly Course;Free Annual Course,Testing QA,2022-1,Quite a Bit,True
284,1041,25-34,University Complete,Trainee,Trainee,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Self-employed,Informal Worker,False,False,False,False,,FullStack Java,2021-2,Not at All,False
285,2147,25-34,Tertiary Complete,Trainee,Junior,Retired,Retired,Self-employed,Employee,False,False,False,True,Free Tertiary Education;Paid University Education,Testing QA,2021-2,Neutral,True
286,2957,Under 25,Secondary Complete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Informal Worker,False,False,False,True,Free Annual Course,Testing QA,2021-2,A Lot,False
287,1079,35-44,University Complete,No Programming Knowledge,Junior,Employed,Unemployed and Not Looking for Work,Informal Worker,Informal Worker,True,False,False,True,Free University Education;Free Tertiary Education;Paid University Education,FullStack PHP,2022-1,Neutral,True
288,1536,45+,University Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Self-employed,False,False,False,True,Paid University Education;Paid Annual Course;Free Tertiary Education,FullStack Java,2022-1,A Lot,True
289,407,Under 25,Tertiary Incomplete,Junior,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Own Business,Employee,False,False,False,True,Free Annual Course;Paid Quarterly Course;Free Tertiary Education,FullStack Python,2022-1,Not at All,True
290,241,35-44,Secondary Complete,Senior,Senior,Unemployed and Looking for Work,Unemployed and Looking for Work,Informal Worker,Informal Worker,False,False,False,False,,FullStack JavaScript / Node.js,2021-1,A Lot,False
291,1864,Under 25,Tertiary Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Own Business,False,True,True,False,,FullStack Python,2021-1,A Lot,False
292,2363,25-34,Secondary Complete,Trainee,Junior,Employed,Employed,Employee,Self-employed,True,False,False,True,Paid University Education;Free Quarterly Course;Other,FullStack Java,2022-1,Quite a Bit,False
293,476,35-44,University Incomplete,Junior,Semi Senior,Unemployed and Looking for Work,Employed,Employee,Own Business,False,True,False,False,,UX/UI Design,2020-2,A Little,True
294,501,45+,University Complete,Trainee,Junior,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Informal Worker,Own Business,False,False,False,False,,Testing QA,2020-2,A Little,True
295,630,25-34,Secondary Incomplete,Senior,Junior,Employed,Employed,Own Business,Employee,False,True,True,False,,UX/UI Design,2020-2,Quite a Bit,False
296,1786,25-34,University Complete,Semi Senior,Semi Senior,Employed,Employed,Own Business,Informal Worker,False,True,True,True,Paid University Education;Free Annual Course;Paid Quarterly Course,FullStack PHP,2021-2,Quite a Bit,False
297,995,25-34,Secondary Complete,Trainee,Junior,Unemployed and Looking for Work,Employed,Employee,Informal Worker,False,False,False,True,Free Quarterly Course,FullStack Python,2022-1,A Little,True
298,937,45+,Postgraduate Complete,Semi Senior,Senior,Employed,Employed,Employee,Own Business,False,True,False,True,Free Annual Course;Other,FullStack Python,2020-2,Neutral,False
299,1903,25-34,Tertiary Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Employee,Self-employed,True,False,False,False,,FullStack Java,2020-2,Neutral,False
300,450,45+,Postgraduate Incomplete,No Programming Knowledge,Trainee,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Self-employed,Own Business,False,False,False,True,Paid Quarterly Course,UX/UI Design,2021-1,A Lot,True
301,248,Under 25,University Incomplete,Junior,Junior,Employed,Unemployed and Not Looking for Work,Employee,Self-employed,False,False,False,True,Free Annual Course;Free Tertiary Education,Testing QA,2021-2,Neutral,True
302,1120,35-44,University Complete,Trainee,Trainee,Employed,Employed,Informal Worker,Self-employed,False,False,False,False,,FullStack PHP,2022-1,A Lot,True
303,1916,45+,Postgraduate Complete,Trainee,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Own Business,Self-employed,False,False,False,False,,UX/UI Design,2022-1,Quite a Bit,False
304,2446,25-34,Postgraduate Incomplete,Junior,Junior,Employed,Employed,Self-employed,Own Business,True,True,True,False,,FullStack JavaScript / Node.js,2020-2,Neutral,False
305,1865,35-44,Secondary Complete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Own Business,False,True,False,False,,UX/UI Design,2021-2,Quite a Bit,True
306,1043,Under 25,Secondary Complete,Trainee,Junior,Unemployed and Looking for Work,Employed,Self-employed,Informal Worker,False,True,True,True,Free Quarterly Course;Paid University Education;Paid Quarterly Course,FullStack Java,2021-2,A Little,True
307,44,35-44,University Incomplete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Employed,Own Business,Employee,False,True,True,True,Paid Quarterly Course;Free Quarterly Course,FullStack JavaScript / Node.js,2021-1,Quite a Bit,False
308,2178,35-44,University Incomplete,Trainee,Junior,Retired,Retired,Self-employed,Employee,False,False,False,True,Free Quarterly Course;Paid Annual Course;Other,FullStack Java,2021-2,A Little,False
309,958,25-34,Tertiary Complete,Semi Senior,Semi Senior,Employed,Unemployed and Looking for Work,Self-employed,Informal Worker,False,False,False,False,,UX/UI Design,2020-2,Quite a Bit,False
310,2671,35-44,University Incomplete,Trainee,Junior,Employed,Employed,Self-employed,Employee,False,False,False,False,,UX/UI Design,2021-2,Quite a Bit,False
311,2805,35-44,Postgraduate Complete,Junior,Semi Senior,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Own Business,Own Business,False,False,False,False,,UX/UI Design,2021-1,Quite a Bit,True
312,303,25-34,Postgraduate Incomplete,Junior,Junior,Employed,Employed,Own Business,Self-employed,False,False,False,True,Free Quarterly Course;Free Tertiary Education;Paid University Education,FullStack Python,2021-1,A Lot,False
313,2684,35-44,University Complete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Employee,True,False,False,False,,FullStack JavaScript / Node.js,2022-1,Not at All,True
314,2816,35-44,University Incomplete,Trainee,Trainee,Employed,Employed,Own Business,Informal Worker,True,False,False,True,Free Quarterly Course;Paid University Education,Big Data,2021-2,Quite a Bit,True
315,2617,35-44,Tertiary Incomplete,Trainee,Junior,Unemployed and Not Looking for Work,Employed,Self-employed,Own Business,False,False,False,True,Paid University Education,FullStack PHP,2020-2,A Little,True
316,1615,35-44,University Complete,Junior,Trainee,Unemployed and Looking for Work,Employed,Employee,Own Business,False,True,True,True,Paid University Education;Free University Education,Big Data,2020-2,A Lot,False
317,2937,Under 25,University Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Employee,Self-employed,False,True,True,True,Paid Quarterly Course,FullStack Python,2020-2,Neutral,False
318,2060,Under 25,University Incomplete,No Programming Knowledge,Semi Senior,Unemployed and Looking for Work,Retired,Informal Worker,Self-employed,False,False,False,False,,FullStack Python,2021-1,Neutral,True
319,209,35-44,University Complete,Semi Senior,Junior,Employed,Unemployed and Looking for Work,Employee,Own Business,False,False,False,False,,Testing QA,2021-2,Not at All,True
320,1486,35-44,Secondary Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Self-employed,Informal Worker,False,False,False,True,Paid Annual Course,Big Data,2021-2,Not at All,True
321,1844,Under 25,University Incomplete,Junior,Senior,Unemployed and Looking for Work,Employed,Self-employed,Employee,False,True,True,False,,Testing QA,2020-2,A Little,False
322,2162,25-34,Postgraduate Complete,Semi Senior,Semi Senior,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Self-employed,Self-employed,False,False,False,False,,FullStack Python,2022-1,A Lot,False
323,485,45+,Postgraduate Complete,Trainee,Trainee,Employed,Employed,Own Business,Employee,False,True,True,True,Free Tertiary Education,Testing QA,2021-1,A Lot,True
324,208,25-34,Tertiary Incomplete,Trainee,Trainee,Employed,Employed,Informal Worker,Employee,False,False,False,True,Paid University Education,FullStack Python,2021-1,Quite a Bit,True
325,1620,35-44,Secondary Complete,Trainee,Semi Senior,Unemployed and Looking for Work,Employed,Employee,Self-employed,False,False,False,True,Free Quarterly Course;Free Annual Course,Testing QA,2021-2,Neutral,True
326,397,35-44,Tertiary Incomplete,No Programming Knowledge,Semi Senior,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Informal Worker,Employee,False,False,False,False,,UX/UI Design,2021-1,Neutral,True
327,935,Under 25,University Incomplete,No Programming Knowledge,Junior,Employed,Employed,Self-employed,Informal Worker,False,True,True,True,Paid Tertiary Education;Other,Big Data,2022-1,Quite a Bit,False
328,1608,35-44,University Complete,Semi Senior,Semi Senior,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Self-employed,Self-employed,False,False,False,False,,FullStack Python,2020-2,A Little,True
329,1134,35-44,University Complete,Junior,Junior,Employed,Unemployed and Looking for Work,Self-employed,Employee,False,False,False,True,Free Quarterly Course;Paid Tertiary Education;Free Tertiary Education,FullStack Java,2021-2,A Lot,False
330,1294,25-34,Secondary Complete,Junior,Trainee,Employed,Employed,Own Business,Self-employed,False,True,True,True,Free Annual Course;Free Quarterly Course;Paid University Education,Big Data,2022-1,A Lot,True
331,2119,25-34,University Complete,Junior,Junior,Employed,Employed,Employee,Self-employed,True,False,False,True,Paid Annual Course,Testing QA,2020-2,A Lot,True
332,1687,35-44,University Complete,Semi Senior,Semi Senior,Employed,Employed,Own Business,Employee,True,True,False,True,Other,FullStack PHP,2021-2,A Little,True
333,107,Under 25,University Incomplete,Trainee,Trainee,Employed,Employed,Informal Worker,Self-employed,True,True,True,False,,FullStack JavaScript / Node.js,2022-1,Quite a Bit,True
334,1580,35-44,Tertiary Incomplete,Semi Senior,Semi Senior,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Employee,False,False,False,True,Paid Quarterly Course;Free Tertiary Education,FullStack PHP,2021-1,Quite a Bit,True
335,1678,Under 25,University Complete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Informal Worker,False,True,True,True,Free Tertiary Education;Free Annual Course;Paid Quarterly Course,FullStack JavaScript / Node.js,2021-2,Neutral,False
336,2741,35-44,University Incomplete,Trainee,Junior,Employed,Employed,Self-employed,Self-employed,False,True,False,True,Free University Education,FullStack JavaScript / Node.js,2021-2,A Little,False
337,2169,25-34,Postgraduate Complete,No Programming Knowledge,Junior,Employed,Employed,Informal Worker,Informal Worker,False,False,False,True,Other;Free Tertiary Education,Testing QA,2021-1,A Little,True
338,2750,35-44,University Complete,Trainee,Semi Senior,Retired,Retired,Informal Worker,Own Business,False,False,False,True,Free Annual Course;Free University Education,Testing QA,2021-2,Quite a Bit,True
339,752,35-44,Tertiary Complete,Trainee,Junior,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Own Business,Self-employed,False,False,False,False,,FullStack Python,2022-1,Neutral,True
340,657,35-44,Secondary Complete,Senior,Semi Senior,Employed,Employed,Informal Worker,Own Business,False,False,False,False,,Testing QA,2021-1,A Lot,True
341,1221,25-34,Secondary Complete,Junior,Junior,Employed,Employed,Self-employed,Employee,False,True,True,False,,FullStack JavaScript / Node.js,2021-2,A Little,True
342,1770,35-44,Tertiary Complete,Trainee,Junior,Unemployed and Looking for Work,Employed,Own Business,Informal Worker,False,True,True,True,Free Quarterly Course;Paid Tertiary Education,FullStack Java,2021-1,Neutral,True
343,1731,Under 25,Secondary Complete,Semi Senior,Semi Senior,Unemployed and Looking for Work,Employed,Employee,Self-employed,False,True,True,True,Free Annual Course;Other;Paid Quarterly Course,FullStack Python,2021-2,Quite a Bit,True
344,1538,Under 25,Secondary Incomplete,No Programming Knowledge,Trainee,Unemployed and Not Looking for Work,Employed,Own Business,Employee,False,False,False,True,Free Tertiary Education;Free University Education,Testing QA,2020-2,Quite a Bit,True
345,827,Under 25,Secondary Complete,Junior,Semi Senior,Unemployed and Looking for Work,Unemployed and Looking for Work,Informal Worker,Own Business,False,False,False,True,Paid Tertiary Education,Big Data,2021-1,A Lot,False
346,2198,35-44,University Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Employed,Informal Worker,Informal Worker,False,False,False,True,Paid Quarterly Course;Free Quarterly Course,FullStack PHP,2022-1,Neutral,False
347,1551,25-34,Tertiary Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Employed,Own Business,Informal Worker,False,True,False,True,Paid Annual Course;Paid University Education;Paid Quarterly Course,FullStack Python,2021-2,Quite a Bit,True
348,2430,45+,Secondary Complete,Semi Senior,Semi Senior,Unemployed and Not Looking for Work,Employed,Own Business,Employee,False,True,True,False,,UX/UI Design,2022-1,Quite a Bit,False
349,47,Under 25,Tertiary Complete,Trainee,Semi Senior,Employed,Employed,Self-employed,Informal Worker,False,False,False,True,Free Tertiary Education,FullStack Python,2021-2,Neutral,True
350,2836,25-34,University Complete,Junior,Junior,Unemployed and Looking for Work,Employed,Own Business,Employee,False,True,True,True,Other,FullStack Java,2022-1,A Lot,False
351,361,35-44,University Complete,Trainee,Junior,Employed,Unemployed and Looking for Work,Own Business,Informal Worker,True,False,False,True,Free Tertiary Education,UX/UI Design,2020-2,A Lot,True
352,2504,45+,Tertiary Complete,Trainee,Junior,Employed,Unemployed and Looking for Work,Informal Worker,Employee,False,False,False,True,Free Tertiary Education;Free Annual Course;Free Quarterly Course,FullStack Java,2022-1,A Little,True
353,104,35-44,Tertiary Complete,Trainee,Junior,Employed,Employed,Self-employed,Own Business,True,False,False,False,,FullStack JavaScript / Node.js,2020-2,Neutral,False
354,2387,25-34,Postgraduate Complete,Junior,Junior,Employed,Employed,Own Business,Informal Worker,True,False,False,False,,FullStack Java,2022-1,A Little,False
355,948,Under 25,University Incomplete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Employed,Informal Worker,Employee,False,False,False,False,,UX/UI Design,2020-2,Neutral,False
356,2246,35-44,University Complete,Trainee,Junior,Unemployed and Not Looking for Work,Employed,Employee,Own Business,False,True,False,True,Free Quarterly Course,UX/UI Design,2021-2,Neutral,False
357,96,25-34,Tertiary Incomplete,Junior,Junior,Employed,Employed,Self-employed,Self-employed,False,True,False,True,Paid University Education,Testing QA,2020-2,A Lot,True
358,1714,25-34,University Incomplete,Junior,Semi Senior,Unemployed and Looking for Work,Employed,Self-employed,Own Business,False,False,False,False,,UX/UI Design,2021-2,Quite a Bit,False
359,1947,45+,Tertiary Complete,Trainee,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Own Business,Informal Worker,False,False,False,False,,FullStack Python,2022-1,A Lot,False
360,2053,35-44,University Complete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Own Business,True,True,True,False,,Testing QA,2021-1,A Lot,False
361,645,35-44,University Incomplete,Trainee,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Own Business,False,False,False,False,,FullStack JavaScript / Node.js,2020-2,A Lot,True
362,1873,25-34,Tertiary Complete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Employee,False,False,False,True,Paid University Education;Free Quarterly Course;Paid Annual Course,FullStack JavaScript / Node.js,2020-2,Quite a Bit,True
363,2365,45+,University Complete,No Programming Knowledge,Junior,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Employee,Self-employed,False,False,False,False,,FullStack PHP,2020-2,Quite a Bit,True
364,1539,25-34,University Complete,Junior,Junior,Unemployed and Not Looking for Work,Employed,Informal Worker,Self-employed,False,False,False,True,Free Quarterly Course;Free University Education,UX/UI Design,2021-1,Quite a Bit,True
365,2986,Under 25,University Complete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Self-employed,Informal Worker,False,False,False,False,,FullStack PHP,2021-1,Quite a Bit,False
366,2637,25-34,University Incomplete,Senior,Semi Senior,Employed,Employed,Own Business,Self-employed,False,True,True,True,Paid Quarterly Course,FullStack Java,2021-2,A Lot,True
367,1698,25-34,University Complete,Junior,Junior,Retired,Retired,Self-employed,Employee,False,False,False,False,,FullStack Java,2020-2,Neutral,False
368,2017,35-44,Tertiary Incomplete,No Programming Knowledge,Junior,Employed,Employed,Employee,Employee,True,True,False,True,Free University Education;Free Tertiary Education;Paid Tertiary Education,FullStack Python,2021-1,Quite a Bit,False
369,2517,35-44,Postgraduate Complete,Trainee,Trainee,Unemployed and Looking for Work,Employed,Employee,Own Business,False,False,False,True,Free Quarterly Course;Paid Annual Course,FullStack Python,2020-2,A Lot,True
370,708,Under 25,Secondary Complete,Trainee,Junior,Employed,Unemployed and Looking for Work,Self-employed,Own Business,True,False,False,True,Free Quarterly Course;Paid Quarterly Course;Paid Annual Course,FullStack PHP,2020-2,Neutral,True
371,1442,35-44,Secondary Incomplete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Employed,Informal Worker,Self-employed,False,False,False,False,,UX/UI Design,2020-2,Neutral,True
372,838,25-34,University Complete,Semi Senior,Semi Senior,Employed,Employed,Own Business,Own Business,False,True,True,False,,UX/UI Design,2021-1,Quite a Bit,True
373,1838,Under 25,Postgraduate Incomplete,Junior,Junior,Employed,Employed,Informal Worker,Informal Worker,False,False,False,False,,FullStack Python,2021-2,Quite a Bit,True
374,371,25-34,University Complete,Trainee,Junior,Employed,Employed,Employee,Informal Worker,False,False,False,False,,FullStack PHP,2020-2,A Little,False
375,2968,Under 25,University Incomplete,Junior,Semi Senior,Unemployed and Not Looking for Work,Employed,Self-employed,Own Business,False,False,False,False,,FullStack JavaScript / Node.js,2021-1,Quite a Bit,True
